customer_state,receita,pct_receita,dias_entrega,pct_atraso,pedidos
SP,5863232.66,37.38422783082464,8.274288967548701,4.4976360801009925,40399
RJ,2105549.64,13.425076577273467,14.836149471974005,12.144597887896019,12310
MG,1837646.07,11.716911699918715,11.518243661100804,4.585210707659687,11319
RS,873634.76,5.570333432541598,14.807771728928103,6.100994931481134,5327
PR,791701.89,5.047925870615966,11.508260248827249,4.05873954721599,4903
BA,605913.32,3.8633298240311267,18.865047648324623,12.173378419920073,3253
SC,605522.98,3.8608409991221246,14.466779756856093,8.227311280746395,3537
DF,350127.1,2.2324257001505243,12.48023143683703,5.689488910318226,2074
GO,339389.7,2.163963568219588,15.156410256410256,6.564102564102564,1950
ES,322013.89,2.0531746438406056,15.31777108433735,10.742971887550201,1992
PE,319329.85,2.0360610874314267,17.966603654694392,9.640831758034027,1587
CE,272572.83,1.7379362832947234,20.789473684210527,13.825608798114688,1273
PA,216197.45,1.37848439520108,23.29936305732484,11.252653927813164,942
MT,185502.48,1.1827719242345385,17.605649717514126,5.988700564971752,885
MA,149689.11,0.9544243110477848,21.078541374474053,17.53155680224404,713
PB,140448.73,0.8955072440993627,19.920542635658915,10.465116279069768,516
MS,135875.69,0.8663493410869527,15.191155492154065,9.700427960057063,701
PI,107519.38,0.685548268546623,18.97684210526316,13.894736842105262,475
RN,101013.74,0.6440680234244166,18.75531914893617,9.361702127659575,470
AL,96099.5,0.6127346142918253,24.017676767676768,21.464646464646464,396
SE,72686.4,0.46345166487090284,20.948795180722893,15.36144578313253,332
TO,61103.85,0.38960081958278187,17.226277372262775,9.854014598540147,274
RO,57423.77,0.36613646857821824,18.91358024691358,2.880658436213992,243
AM,27835.73,0.17748183169612108,25.986206896551725,2.7586206896551726,145
AC,19669.7,0.125414867327467,20.6375,3.75,80
AP,16262.8,0.10369232394866879,26.73134328358209,2.9850746268656714,67
RR,9743.72,0.0621263847987507,29.5,12.5,40
