seller_id,seller_state,receita
d23019c84ffae2d5ef2270367b8605fc,PR,31954.84
8b321bb669392f5163d04c59e235e066,SP,31692.05
900ba814c251a692506d7834c1218441,SP,31467.940000000002
a3a38f4affed601eb87a97788c949667,SC,31444.940000000002
16090f2ca825584b5a147ab24aa30c86,SP,31173.11
d2374cbcbb3ca4ab1086534108cc3ab7,SP,30774.8
12b9676b00f60f3b700e83af21824c0e,RS,30128.53
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,30005.89
c003204e1ab016dfa150abc119207b24,SP,29850.89
b32be1695eb7ec5f10f72d9610a12527,RS,29831.02
de23c3b98a88888289c6f5cc1209054a,SP,28892.74
dc4a0fc896dc34b0d5bfec8438291c80,SP,28795.09
897060da8b9a21f655304d50fd935913,SP,28592.91
a416b6a846a11724393025641d4edd5e,SP,27865.8
1c68394e931a64f90ea236c5ea590300,PR,27729.16
1a3df491d1c4f1589fc2b934ada68bf2,SC,27594.12
710e3548e02bc1d2831dfc4f1b5b14d4,PR,27460.57
f62d7bb4a613ec758a03342d46b580b2,MG,26790.59
b94cc9f10ddc85e4ba73a6f7974e7101,RJ,26368.489999999998
7ad32824caee82087b3e2e5f33b1bf32,SP,26050.32
8f2ce03f928b567e3d56181ae20ae952,SP,25550.010000000002
729f06993dac8e860d4f02d7088ca48a,SP,25479.649999999998
f45122a9ab94eb4f3f8953578bc0c560,SP,25404.13
612170e34b97004b3ba37eae81836b4c,RS,25372.08
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,24535.1
b37c4c02bda3161a7546a4e6d222d5b2,SP,24487.6
744dac408745240a2c2528fb1b6028f3,PR,24385.02
06e5eefc71ec47ae763c5c6f8db7064f,RS,24381.84
8444e55c1f13cd5c179851e5ca5ebd00,MG,23983.91
85d9eb9ddc5d00ca9336a2219c97bb13,MG,23948.16
40db9e9aa57f7bb151bcda6b0f9bdbb7,PE,23823.989999999998
0dd184061fb0eaa7ca37932c68ab91c5,SP,23766.420000000002
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,SP,23695.2
05ff92fedb5be47920fea08e501238b9,RS,23687.16
59fb871bf6f4522a87ba567b42dafecf,SP,23628.510000000002
